mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile1,ImageFile2,MatchSimilar,SequenceNumber,participant,source,date,expName,psychopyVersion,OS,frameRate
-0.650578171,-0.259175488,1,0,0,5.339065,number1,0,0,0,0,1,IMS/09-HydroidesSanctaecrucis-04.jpg,SimilarSameFamily/09-01-VermilipsisStriaticeps.jpg,SimilarSameFamily,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.196078408,-0.244092531,1,0,0,6.1038,number5,0,1,1,1,1,IMS/09-HydroidesSanctaecrucis-03.jpg,SimilarSameOrder/09-01-PseudobranchiommaLonga.jpg,SimilarSameOrder,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.296631511,-0.256158896,1,0,0,2.17138,number9,0,2,2,2,1,IMS/13-PernaCanaliculus-04.jpg,SimilarSameGenus/13-01-PernaPerna.jpg,SimilarSameGenus,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.291603858,-0.243087001,1,0,0,1.70791,number9,0,3,3,3,1,IMS/03-CarcinusMaenas-04.jpg,Match/03-CarcinusMaenas-05.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.458521913,-0.248114653,1,0,0,1.494385,number10,0,4,4,4,1,IMS/14-PernaPerna-01.jpg,SimilarSameGenus/14-01-PernaCanaliculus.jpg,SimilarSameGenus,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.455505321,-0.245098061,1,0,0,1.12698,number10,0,5,5,5,1,IMS/13-PernaCanaliculus-03.jpg,Match/13-PernaCanaliculus-06.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.454499791,-0.259175488,1,0,0,1.01575,number10,0,6,6,6,1,IMS/08-HemigrapsusSanguineus-01.jpg,SimilarSameOrder/08-01-GeograpsusLividus.jpg,SimilarSameOrder,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.458521855,-0.277275097,1,0,0,2.626495,number3,0,7,7,7,1,IMS/05-CodiumFragile-01.jpg,SimilarSameGenus/05-01-CodiumSpongiosum.jpg,SimilarSameGenus,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.465560626,-0.262192079,1,0,0,0.95292,number10,0,8,8,8,1,IMS/15-PernaViridis-04.jpg,SimilarSameGenus/15-02-PernaCanaliculus.jpg,SimilarSameGenus,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.465560626,-0.262192079,1,0,0,0.91408,number10,0,9,9,9,1,IMS/17-RapanaVenosa-03.jpg,SimilarSameFamily/17-01-AcanthinaMonodon.jpg,SimilarSameFamily,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
